index,Model,Model_ZH,Method,Method_ZH,High_F1_mean,High_F1_std,High_F1_var,Medium_F1_mean,Medium_F1_std,Medium_F1_var,Low_F1_mean,Low_F1_std,Low_F1_var,High_Precision_mean,High_Precision_std,High_Precision_var,High_Recall_mean,High_Recall_std,High_Recall_var,Macro_F1_mean,Macro_F1_std,Macro_F1_var,Balanced_Accuracy_mean,Balanced_Accuracy_std,Balanced_Accuracy_var,G_mean_mean,G_mean_std,G_mean_var
15,Random Forest,随机森林,BorderlineSMOTE,边界SMOTE,0.554949494949495,0.17632498679792621,0.03109050096928885,0.9104555693117623,0.019197406006813078,0.0003685403973904228,0.9349750687093398,0.01285323629999685,0.00016520568338355675,0.7976190476190477,0.13309928437498744,0.01771541950113378,0.45714285714285713,0.21965011602407075,0.04824617346938775,0.800126710990199,0.062397197827341044,0.0038934102967043338,0.7707420371037536,0.07356238078270268,0.005411423866419344,0.7175441904856299,0.11599931544804402,0.013455841184414825
16,Random Forest,随机森林,GAN,GAN插补,0.5128205128205129,0.13563108877372507,0.01839579224194609,0.9005838026367492,0.029041728715123217,0.0008434220067628125,0.9295247785908176,0.02009322648060559,0.00040373775040090964,0.82,0.20493901531919195,0.041999999999999996,0.38571428571428573,0.12727521200861044,0.016198979591836735,0.7809763646826932,0.056029570348410586,0.0031393127534274905,0.7422529281260546,0.050362591974646334,0.0025363906704047113,0.6815884141545347,0.08413948144072517,0.007079452337114135
21,SVM,支持向量机,GAN,GAN插补,0.485034965034965,0.12025333549896623,0.014460864698626933,0.9377403278278249,0.014989699367703477,0.00022469108713413002,0.9626639231854911,0.013209183640976712,0.00017448253246104677,0.7342857142857142,0.24528201178668288,0.06016326530612244,0.3821428571428571,0.11682448024140091,0.01364795918367347,0.795146405349427,0.04362494021877452,0.001903135409091651,0.7642060514225442,0.041470672230852344,0.0017198166552787875,0.6978244620029888,0.07451537871834055,0.00555254166553772
0,Decision Tree,决策树,BorderlineSMOTE,边界SMOTE,0.4785852451641925,0.17841960910725868,0.03183355691398698,0.8185535716517862,0.027122791795508406,0.0007356458347824982,0.861619697993562,0.02703797096334556,0.0007310518738147178,0.44287878787878787,0.1546657285997961,0.023921487603305785,0.5321428571428571,0.23055777530827723,0.05315688775510205,0.7195861716031803,0.047648203669010146,0.002270351312883472,0.7362527629075719,0.06451309830756119,0.004161939853241054,0.7067260084824618,0.09151275499206199,0.008374584326237167
4,Decision Tree,决策树,SMOTEENN,SMOTE-ENN,0.47411764705882353,0.05849874024376272,0.003422102610107224,0.772525304143528,0.027900923947847975,0.0007784615571435967,0.8208057861999457,0.022024966606794746,0.00048509915403042374,0.4122055137844612,0.06603151561386983,0.004360161054264735,0.5892857142857142,0.13658087982837816,0.01865433673469388,0.6891495791340991,0.024075676689889924,0.000579638208076109,0.7247746812601343,0.0382057595838312,0.0014596800653775093,0.7131200803205404,0.05282508003935435,0.002790489081164193
2,Decision Tree,决策树,NoSampling,不采样,0.47041835686336964,0.08275154050959074,0.0068478174567104385,0.7987486174841838,0.029657972007194916,0.0008795953035795573,0.8425292907684222,0.029986509717487415,0.0008991907650369671,0.45999999999999996,0.12995725793078616,0.016888888888888884,0.5107142857142858,0.14374722712498647,0.020663265306122447,0.7038987550386586,0.034524236715293366,0.0011919229207736106,0.7162475828796333,0.05688101753572036,0.0032354501558989274,0.6953590869145876,0.06914123809253836,0.0047805108049690775
3,Decision Tree,决策树,SMOTE,SMOTE,0.4682067914885252,0.11469244389724334,0.013154356687122311,0.7990616719879213,0.034807016408400795,0.001211528391254682,0.8514296497408805,0.022937505324886195,0.0005261291505291825,0.4069153069153069,0.126645644625161,0.01603911930252257,0.5607142857142857,0.09157772432112914,0.008386479591836728,0.7062327044057757,0.034959985856962125,0.0012222006111189917,0.7343675581847317,0.03204624619558113,0.001026961895227798,0.7204232343065788,0.040820085155272856,0.0016662793520837275
1,Decision Tree,决策树,GAN,GAN插补,0.4574611449931143,0.1698085071508219,0.028834929100790732,0.8064556772133707,0.031092037281551792,0.0009667147823174066,0.8518528564957164,0.024570648247700992,0.0006037167553122519,0.45666666666666667,0.20803311702173236,0.04327777777777778,0.48571428571428577,0.15639024318436656,0.024457908163265308,0.7052565595674005,0.05041001025232703,0.0025411691336397167,0.7137599094476875,0.040252869848173986,0.0016202935310140347,0.6860274322587513,0.05692943692257288,0.0032409607883212045
6,KNN,K近邻,GAN,GAN插补,0.39841269841269844,0.14112709035171578,0.01991685563114135,0.8366776233500186,0.028191051485709957,0.0007947353838699495,0.8856822504365031,0.015337378165665268,0.0002352351689966257,0.5671428571428571,0.3065442672031269,0.09396938775510205,0.4321428571428571,0.2536091521235311,0.06431760204081632,0.7069241907330733,0.05595177316150758,0.0031306009199168,0.7175219229088172,0.08226237089585453,0.0067670976654071345,0.6579596076996393,0.14457012868950253,0.020900522109299324
5,KNN,K近邻,BorderlineSMOTE,边界SMOTE,0.3194607994292382,0.07166049102609538,0.005135225974101096,0.7668919563056951,0.0295053804533902,0.0008705674756993005,0.8811867259118987,0.008836389249135214,7.808177496223241e-05,0.19944441523388892,0.049821618059746706,0.0024821936260912792,0.8214285714285714,0.14117310982894551,0.019929846938775513,0.6558464938822773,0.03273071863242374,0.0010712999421948902,0.8020751777725923,0.04869522558007898,0.002371224994294778,0.7974039156067384,0.048572545184116606,0.002359292145663049
8,KNN,K近邻,SMOTE,SMOTE,0.3013623310487422,0.04750589514630867,0.0022568100736520737,0.7552526160860591,0.02344301742572616,0.0005495750660229003,0.8847918935586037,0.01489832971420761,0.0002219602282732414,0.1838805921481675,0.033579658790761226,0.0011275934845039477,0.8464285714285713,0.054456966721346076,0.002965561224489794,0.6471356135644684,0.022258012387758375,0.0004954191154536052,0.8048063640467225,0.02108640742555547,0.0004446365781165209,0.8005236693845195,0.022162753171618494,0.0004911876281460856
9,KNN,K近邻,SMOTEENN,SMOTE-ENN,0.26221695851025256,0.040479819284286234,0.0016386157692884716,0.7235915982593943,0.024994989136303054,0.0006247494819239078,0.8776966921389178,0.010735999188648895,0.00011526167857866972,0.1554494885018558,0.02690714787103567,0.0007239946065537795,0.8464285714285713,0.054456966721346076,0.002965561224489794,0.6211684163028549,0.020954487943292837,0.00043909056496560484,0.7871908383042617,0.02715868541477486,0.0007375941934587046,0.7817732346840438,0.028482648984699196,0.0008112612931855862
17,Random Forest,随机森林,NoSampling,不采样,0.08888888888888888,0.12171612389003691,0.014814814814814814,0.8931179149119256,0.025951464268663915,0.0006734784976877399,0.9262728857336286,0.01886154587106804,0.0003557579126464038,0.4,0.5477225575051661,0.3,0.05,0.06846531968814576,0.0046875,0.6360932298448143,0.04360749705703544,0.001901613799579355,0.6302403044793301,0.027752513597994875,0.0007702020110068904,0.18935020884174694,0.25928149833705655,0.06722689537990904
22,SVM,支持向量机,NoSampling,不采样,0.0,0.0,0.0,0.9340516845492214,0.014191669860752897,0.00020140349343660216,0.9632708827613014,0.01307143868884814,0.00017086250939631596,0.0,0.0,0.0,0.0,0.0,0.0,0.6324408557701743,0.009081682203871138,8.247695165210971e-05,0.6402938518655207,0.009506637509909353,9.037615674481551e-05,0.0,0.0,0.0
7,KNN,K近邻,NoSampling,不采样,0.0,0.0,0.0,0.8430381924205397,0.018214162541762825,0.000331755717097756,0.8829320485435443,0.014540768375527632,0.00021143394495074452,0.0,0.0,0.0,0.0,0.0,0.0,0.5753234136546947,0.010868673659272646,0.00011812806711176705,0.5823269173670009,0.01147986371487341,0.00013178727091206716,0.0,0.0,0.0
