Fold,Model,Model_ZH,Method,Method_ZH,High_F1,Medium_F1,Low_F1,High_Precision,High_Recall,Macro_F1,Balanced_Accuracy,G_mean
1,Logistic Regression,逻辑回归,GAN,GAN,0.7142857142857143,0.9801324503311258,0.9941860465116279,0.7142857142857143,0.7142857142857143,0.8962014037094894,0.8959899749373434,0.8859924694536783
2,Decision Tree,决策树,NoSampling,不采样,0.4444444444444444,0.8067796610169492,0.8645533141210374,0.4,0.5,0.7052591398608103,0.721749226006192,0.7016252960649093
2,Random Forest,随机森林,NoSampling,不采样,0.0,0.8867313915857605,0.9212827988338192,0.0,0.0,0.6026713968065266,0.6102425180598555,0.0
2,SVM,支持向量机,NoSampling,不采样,0.0,0.9584664536741214,0.9852507374631269,0.0,0.0,0.6479057303790827,0.6563983488132095,0.0
2,KNN,K近邻,NoSampling,不采样,0.0,0.8681672025723473,0.9032258064516129,0.0,0.0,0.59046433634132,0.5980134158926729,0.0
2,Logistic Regression,逻辑回归,NoSampling,不采样,0.7692307692307693,0.9838187702265372,0.9940828402366864,1.0,0.625,0.915710793231331,0.871078431372549,0.851621844102799
2,Decision Tree,决策树,SMOTE,SMOTE,0.42105263157894735,0.7880794701986755,0.8436578171091446,0.36363636363636365,0.5,0.6842633062955891,0.7080237358101136,0.690536805393492
2,Random Forest,随机森林,SMOTE,SMOTE,0.46153846153846156,0.9013157894736842,0.9329446064139941,0.6,0.375,0.7652662858087133,0.7391640866873065,0.6826421535995074
2,SVM,支持向量机,SMOTE,SMOTE,0.5333333333333333,0.9576547231270358,0.9822485207100592,0.5714285714285714,0.5,0.8244121923901427,0.8145252837977296,0.778695453930584
2,KNN,K近邻,SMOTE,SMOTE,0.24489795918367346,0.7536231884057971,0.9074626865671642,0.14634146341463414,0.75,0.6353279447188783,0.776109391124871,0.7712856071018994
2,Logistic Regression,逻辑回归,SMOTE,SMOTE,0.7272727272727273,0.9700996677740864,0.9910979228486647,0.5714285714285714,1.0,0.8961567726318261,0.9809597523219814,0.9808266838865257
2,Decision Tree,决策树,SMOTEENN,SMOTEENN,0.5,0.8,0.8477611940298507,0.4166666666666667,0.625,0.7159203980099503,0.7543085655314758,0.7483048517134923
2,Random Forest,随机森林,SMOTEENN,SMOTEENN,0.5,0.8851351351351351,0.9252873563218391,0.5,0.5,0.7701408304856581,0.7696336429308565,0.7417511396163651
2,SVM,支持向量机,SMOTEENN,SMOTEENN,0.625,0.9403973509933775,0.9649122807017544,0.625,0.625,0.8434365438983772,0.843266253869969,0.8275354341851541
2,KNN,K近邻,SMOTEENN,SMOTEENN,0.2033898305084746,0.6888888888888889,0.8882175226586103,0.11764705882352941,0.75,0.5934987473519913,0.7421826625386997,0.7348347388602989
2,Logistic Regression,逻辑回归,SMOTEENN,SMOTEENN,0.6956521739130435,0.9634551495016611,0.9880952380952381,0.5333333333333333,1.0,0.8824008538366476,0.9768059855521156,0.9766250517208456
2,Decision Tree,决策树,BorderlineSMOTE,BorderlineSMOTE,0.4444444444444444,0.825938566552901,0.8825214899713467,0.4,0.5,0.7176348336562307,0.7339783281733746,0.7117506329894161
2,Random Forest,随机森林,BorderlineSMOTE,BorderlineSMOTE,0.36363636363636365,0.8881578947368421,0.9217391304347826,0.6666666666666666,0.25,0.7245111296026628,0.6911506707946337,0.5921878109885526
2,SVM,支持向量机,BorderlineSMOTE,BorderlineSMOTE,0.47058823529411764,0.9508196721311475,0.9822485207100592,0.4444444444444444,0.5,0.8012188093784415,0.810139318885449,0.7751478172400837
2,KNN,K近邻,BorderlineSMOTE,BorderlineSMOTE,0.2608695652173913,0.7552447552447552,0.8902439024390244,0.15789473684210525,0.75,0.635452740967057,0.7731166150670795,0.7706345130839372
2,Logistic Regression,逻辑回归,BorderlineSMOTE,BorderlineSMOTE,0.7619047619047619,0.9735099337748344,0.9910979228486647,0.6153846153846154,1.0,0.9088375395094204,0.9831527347781218,0.9830609209547618
2,Decision Tree,决策树,GAN,GAN,0.35294117647058826,0.7972972972972973,0.8530259365994236,0.3333333333333333,0.375,0.6677548034557698,0.673968008255934,0.6328403475400736
2,Random Forest,随机森林,GAN,GAN,0.3333333333333333,0.8695652173913043,0.9111747851002865,0.5,0.25,0.7046911119416414,0.6801857585139319,0.5847846872707847
2,SVM,支持向量机,GAN,GAN,0.46153846153846156,0.961038961038961,0.9852507374631269,0.6,0.375,0.8026093866801832,0.7770123839009289,0.7105134687463817
2,KNN,K近邻,GAN,GAN,0.5555555555555556,0.8637873754152824,0.9032258064516129,0.5,0.625,0.7741895791408169,0.7953818369453044,0.7852667227094822
2,Logistic Regression,逻辑回归,GAN,GAN,0.8888888888888888,0.9836065573770492,0.9910979228486647,0.8,1.0,0.9545311230382009,0.9897316821465428,0.9897034259695768
3,Decision Tree,决策树,NoSampling,不采样,0.5714285714285714,0.7677419354838709,0.8035714285714286,0.6666666666666666,0.5,0.714247311827957,0.6923374613003096,0.6774117753214521
3,Random Forest,随机森林,NoSampling,不采样,0.0,0.8571428571428571,0.9050279329608939,0.0,0.0,0.587390263367917,0.5939628482972136,0.0
3,SVM,支持向量机,NoSampling,不采样,0.0,0.9315960912052117,0.9623188405797102,0.0,0.0,0.6313049772616406,0.6390866873065015,0.0
3,KNN,K近邻,NoSampling,不采样,0.0,0.8448844884488449,0.8882521489971347,0.0,0.0,0.5777122124819932,0.5846233230134158,0.0
3,Logistic Regression,逻辑回归,NoSampling,不采样,0.8571428571428571,0.9803921568627451,0.9882352941176471,1.0,0.75,0.9419234360410832,0.9083591331269351,0.9009964882910457
3,Decision Tree,决策树,SMOTE,SMOTE,0.5882352941176471,0.7464788732394366,0.8189415041782729,0.5555555555555556,0.625,0.7178852238451189,0.7290247678018575,0.7223320793854715
3,Random Forest,随机森林,SMOTE,SMOTE,0.7058823529411765,0.8888888888888888,0.923943661971831,0.6666666666666666,0.75,0.8395716346006322,0.8522703818369454,0.8477624776506535
3,SVM,支持向量机,SMOTE,SMOTE,0.75,0.9501661129568106,0.967930029154519,0.75,0.75,0.8893653807037766,0.8890866873065016,0.8832241996129248
3,KNN,K近邻,SMOTE,SMOTE,0.35,0.7829181494661922,0.8908554572271387,0.21875,0.875,0.6745912022311104,0.8289731682146543,0.8254581479226311
3,Logistic Regression,逻辑回归,SMOTE,SMOTE,0.7619047619047619,0.9666666666666667,0.9852507374631269,0.6153846153846154,1.0,0.9046073886781851,0.9787667698658411,0.9785822213879772
3,Decision Tree,决策树,SMOTEENN,SMOTEENN,0.5555555555555556,0.7540983606557377,0.8011869436201781,0.5,0.625,0.7036136199438238,0.7252321981424149,0.7214502234994784
3,Random Forest,随机森林,SMOTEENN,SMOTEENN,0.6666666666666666,0.8710801393728222,0.9126760563380282,0.6,0.75,0.8168076207925057,0.8417698658410733,0.8376538595410616
3,SVM,支持向量机,SMOTEENN,SMOTEENN,0.7368421052631579,0.9146757679180887,0.9425287356321839,0.6363636363636364,0.875,0.8646822029378102,0.9070949432404541,0.9061944472769189
3,KNN,K近邻,SMOTEENN,SMOTEENN,0.3111111111111111,0.7436823104693141,0.8757396449704142,0.1891891891891892,0.875,0.6435110221836132,0.8077399380804954,0.8021793806261666
3,Logistic Regression,逻辑回归,SMOTEENN,SMOTEENN,0.7619047619047619,0.9605263157894737,0.9791044776119403,0.6153846153846154,1.0,0.9005118517687253,0.975077399380805,0.9749179460193218
3,Decision Tree,决策树,BorderlineSMOTE,BorderlineSMOTE,0.625,0.7864406779661017,0.830945558739255,0.625,0.625,0.7474620789017856,0.7470330237358102,0.7409766113075
3,Random Forest,随机森林,BorderlineSMOTE,BorderlineSMOTE,0.6666666666666666,0.8926174496644296,0.9221902017291066,0.7142857142857143,0.625,0.8271581060200677,0.8137254901960785,0.8014068382828363
3,SVM,支持向量机,BorderlineSMOTE,BorderlineSMOTE,0.8,0.9570957095709571,0.9707602339181286,0.8571428571428571,0.75,0.909285314496362,0.8934726522187822,0.887322746478851
3,KNN,K近邻,BorderlineSMOTE,BorderlineSMOTE,0.4444444444444444,0.8055555555555556,0.8869047619047619,0.2857142857142857,1.0,0.7123015873015873,0.8798761609907121,0.8745485339762958
3,Logistic Regression,逻辑回归,BorderlineSMOTE,BorderlineSMOTE,0.8,0.9700996677740864,0.9852507374631269,0.6666666666666666,1.0,0.9184501350790711,0.9809597523219814,0.9808266838865257
3,Decision Tree,决策树,GAN,GAN,0.75,0.780327868852459,0.8141592920353983,0.75,0.75,0.7814957202959524,0.7815531475748193,0.7811448981419431
3,Random Forest,随机森林,GAN,GAN,0.6153846153846154,0.8758620689655172,0.9131652661064426,0.8,0.5,0.8014706501521918,0.7647832817337461,0.7371506850259001
3,SVM,支持向量机,GAN,GAN,0.6666666666666666,0.9438943894389439,0.9623188405797102,1.0,0.5,0.8576266322284402,0.8057533539731683,0.7715674067642044
3,KNN,K近邻,GAN,GAN,0.5,0.8533333333333334,0.8908045977011494,0.75,0.375,0.7480459770114942,0.7096233230134158,0.6603286521997531
3,Logistic Regression,逻辑回归,GAN,GAN,0.9411764705882353,0.9834983498349835,0.9882352941176471,0.8888888888888888,1.0,0.9709700381802886,0.9894994840041279,0.9894663144545205
4,Decision Tree,决策树,NoSampling,不采样,0.5217391304347826,0.8235294117647058,0.8640483383685801,0.4,0.75,0.7364389601893562,0.8067079463364294,0.8056723245353125
4,Random Forest,随机森林,NoSampling,不采样,0.2222222222222222,0.9028213166144201,0.927710843373494,1.0,0.125,0.6842514607367122,0.6594169246646026,0.4751531056519538
4,SVM,支持向量机,NoSampling,不采样,0.0,0.9235668789808917,0.9526627218934911,0.0,0.0,0.6254098669581276,0.6336687306501548,0.0
4,KNN,K近邻,NoSampling,不采样,0.0,0.8461538461538461,0.8823529411764706,0.0,0.0,0.5761689291101056,0.5835913312693498,0.0
4,Logistic Regression,逻辑回归,NoSampling,不采样,0.4,0.9681528662420382,0.9880952380952381,1.0,0.25,0.7854160347790922,0.7421568627450981,0.6249803915416826
4,Decision Tree,决策树,SMOTE,SMOTE,0.47619047619047616,0.8038585209003215,0.8475609756097561,0.38461538461538464,0.625,0.7092033242335178,0.7550051599587203,0.749038442084617
4,Random Forest,随机森林,SMOTE,SMOTE,0.5,0.8827160493827161,0.9012345679012346,0.75,0.375,0.7613168724279835,0.7248710010319918,0.6716492753973534
4,SVM,支持向量机,SMOTE,SMOTE,0.6153846153846154,0.9285714285714286,0.9498525073746312,0.8,0.5,0.831269517110225,0.7959494324045407,0.7637416401087431
4,KNN,K近邻,SMOTE,SMOTE,0.35,0.773972602739726,0.8780487804878049,0.21875,0.875,0.6673404610758435,0.821826625386997,0.8198205992375768
